L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000014919	1455.677	1714.081	1890.323	1934.549	1220.558	1541.173	2195.948	1555.888
ENSG00000015133	3218.501	3447.339	3620.156	4080.581	3621.396	2946.745	4555.285	2552.485
ENSG00000015153	606	667.595	690.999	650.678	462.246	543.356	565.221	599.108
ENSG00000015171	594.999	842.944	1012	994.807	371	823.002	935.224	782
ENSG00000015285	1395.393	1797.775	2153.882	1983.157	1435	1761.281	2336.922	1537.007
ENSG00000015413	0	0	0	1	0	1	0	0
ENSG00000015475	1728.629	1906.101	1710.77	1618.002	1180.603	1017.027	1882.802	1240.061
ENSG00000015479	7070.029	7047.244	8814.621	7337.672	6764.979	6081.039	7954.301	7564.211
ENSG00000015520	13	24	5	53.023	0	10	7	35
ENSG00000015532	691.32	576.842	676.981	780.665	524.1	557.001	580.227	701.998
ENSG00000015568	322.911	47.345	35.378	40.223	511.253	76.439	25.292	151.475
ENSG00000015592	13	0	1	11	6	1	2	4
ENSG00000015676	2105.117	2486.628	2471.892	2281.337	1736.103	2272.614	2527.238	2170.865
ENSG00000016082	0	1	1	1	12	0	0	0
ENSG00000016391	1061.794	2473.302	866.577	1093.902	215.952	937.936	816.166	2292.883
ENSG00000016402	2	2	3	0	0	2	0	5
ENSG00000016490	0	1	0	0	0	1	0	0
ENSG00000016602	1	0	0	0	1	0	0	0
ENSG00000016864	1278.952	1085.186	1409.028	1474.513	823.009	1475.002	964.293	1079.648
ENSG00000017260	4098.644	4562.623	5728.61	4403.772	2088.954	3027.928	4269.984	4093.892
ENSG00000017427	1088.034	1266.624	686.001	488.168	491.297	251	219.001	228.001
ENSG00000017483	1046.78	1309.079	1694.999	2231.687	915.507	1326.999	2186.055	1195.013
ENSG00000017797	2493.413	2644.472	2803.083	2415.709	1696.442	2527.658	2697.705	2236.664
ENSG00000018189	715.166	843	1330.33	963.028	710.999	1438	455.999	1727.09
ENSG00000018236	1	1	1	6	17.004	2.16	2	1
ENSG00000018280	29.167	19.172	41.092	48.463	27.098	28.114	22.003	59.55
ENSG00000018408	129.091	328.028	337.075	163.22	70.135	117.455	79.236	453.225
ENSG00000018510	1445.302	1734.294	1998.244	1797.344	1363.583	1128.084	2391.611	1620.006
ENSG00000018607	0	0	0	0	0	0	0	0
ENSG00000018610	522.703	419.48	702.587	581.12	517.761	380.849	751.2	645.931
ENSG00000018625	2.032	5.164	0	5.227	6.723	4.222	0	1.07
ENSG00000018699	633	546.001	714.277	880	623	571	935.53	729
ENSG00000018869	19	35	32	33	26	52.043	19	36
ENSG00000019102	4	11	10	6	5	6.009	12	14
ENSG00000019144	18.055	17.101	66.116	16.027	12.113	28.226	25.028	8.019
ENSG00000019169	1	0	0	0	2	1	0	2
ENSG00000019186	0	0	0	0	0	1	1	3
ENSG00000019485	22	29	79	47	76.862	11	70.001	60
ENSG00000019505	0	1.073	0	0	1.01	1.092	3.209	0
ENSG00000019549	0	5	26	6	5	0	17	1
ENSG00000019582	82582.765	112359.18	103737.097	95654.999	91615.263	111944.585	91107.961	71572.606
ENSG00000019991	462	14	48.999	21	4	6	4	14
ENSG00000019995	978.355	1144.444	996.591	1164.658	685.156	839.178	857.962	874.752
ENSG00000020129	762	858.001	1058.515	924	1110.335	750.187	1085.114	944.045
ENSG00000020181	6.043	13.046	69.684	19.187	16.106	10.345	42.797	15.093
ENSG00000020219	0	2	0	0	2	0	0	0
ENSG00000020256	634.171	653.114	590.072	675.016	396.001	427.987	781.166	589
ENSG00000020426	390.999	471.057	553.064	530.951	573.999	306	477.999	442
ENSG00000020577	145.003	433	438	305.106	670.261	373.001	280.001	103
ENSG00000020633	6507.098	6530.685	7493.843	6337.893	3940.258	4965.055	6730.186	7817.486
ENSG00000020922	1539.726	1674.756	1840.702	1832.761	1370.025	1712.858	1952.424	1286.959
ENSG00000021300	13	26	32	32	21	32	15	19
ENSG00000021355	1147.626	770.502	1900.281	211.227	301.815	1163.448	240.5	132.181
ENSG00000021461	0	4.252	6	5.307	6	5	1	1.265
ENSG00000021488	3	7	2	1	1	3	3	1
ENSG00000021574	670.624	698.564	814.661	818.014	425.941	463.829	789.507	624.003
ENSG00000021645	60.019	37.005	55.034	59.001	346.001	244.059	52.075	47.001
ENSG00000021762	1	3	10	1	0	1	1	2
ENSG00000021776	1737.274	1971.102	2229.372	2288.686	1557.588	1523.228	2733.371	1917
ENSG00000021826	25.817	43.143	59.56	200.551	23.163	40.67	78.375	139.742
ENSG00000021852	0	0	0	0	0	0	0	0
ENSG00000022267	26.809	816.999	564	60	24.001	58	116.999	49.001
ENSG00000022277	1973.504	2276.504	2627.008	2357.85	1701.009	1965	2280.108	2100.967
ENSG00000022355	0	0	2	1	3	0	1	0
ENSG00000022556	0	0	329.728	0	0	359.155	0	0
ENSG00000022567	193	138	211	304.01	135	199	175.137	188
ENSG00000022840	3035.966	3203.154	3699.855	3594.209	2325.743	3030.831	3787.857	2823.387
ENSG00000022976	377.724	487.66	516.857	597.19	778.112	550.328	574.54	563.715
ENSG00000023041	1032.057	1316.404	1508.491	1550.449	834.249	1296.549	1546.449	1272
ENSG00000023171	734.474	259.064	353.006	573.999	1979.08	592.051	752.09	729.096
ENSG00000023191	0	0	10.597	0	24.423	0	0	28.437
ENSG00000023228	2698.373	2783.372	3242.166	3394.56	2279.744	1631.973	3985.292	2500.635
ENSG00000023287	1058.174	1191.005	1264.112	1493.643	676.999	1054.001	1131.128	958.001
ENSG00000023318	2294.173	2995.54	3308.61	3218.319	2068.293	3084.555	2080.679	2563.678
ENSG00000023330	2527.979	2049.006	2238.531	2794.33	1033	1462	2442.657	1595.859
ENSG00000023445	16748.233	7812.545	10114.783	10816.616	4634.355	3608.759	4494.967	6537.632
ENSG00000023516	5126.847	4960.726	4405.534	5087.743	3879.222	4006.124	4872.331	3735.315
ENSG00000023572	377.001	550.216	593.117	618.237	399.84	538.358	821.949	556.395
ENSG00000023608	335	403.97	449.122	406	227.095	264	517.083	510
ENSG00000023697	798.112	862.571	886	958.485	692	675	1017.999	718.2
ENSG00000023734	2489.564	2623.225	2957.096	2955.616	2479.316	1671.999	3606.21	2537.847
ENSG00000023839	22.006	43	29.022	50	42.013	34	19	28
ENSG00000023892	1336.177	1647.581	1779.358	1829.285	1359.842	1482.622	1938.01	1525.774
ENSG00000023902	1906.558	3052.291	3240.047	2636.635	2979.003	2835.251	3414.082	1811.511
ENSG00000023909	233.001	297	473.231	528.156	161	277.439	441.811	377.565
ENSG00000024048	2038.895	1957.771	2199.751	2383.167	1271	2170.525	1673.639	1734.849
ENSG00000024422	4	13	99	17	9	7	30	12
ENSG00000024526	598.943	536.981	723.982	784.191	267.824	452.961	1129.869	724.979
ENSG00000024862	430.062	519.004	659.057	555.012	321	616	418.253	463
ENSG00000025039	2672.718	1379.346	1213.875	3140.351	2110.144	2642.421	2343.673	2300
ENSG00000025156	500.418	607	697.027	653	454	491	708	563.001
ENSG00000025293	1867.217	1828.207	1876.267	1798.368	1293.03	1346.388	1908.976	1709.299
ENSG00000025423	14.008	25	21	29	12	16.021	53.075	18
ENSG00000025434	63.009	85	112.001	86.02	36.001	76.196	98.001	82.002
ENSG00000025708	2284.351	1754.952	2001.201	1617.473	1401.993	817.432	1239.936	964.694
ENSG00000025770	1157.705	1559.501	1494.376	1762.546	1528.643	1346.136	2205.681	1462.37
ENSG00000025772	831.579	870	1215.306	1211	1037.053	923.421	1616.622	847.003
ENSG00000025796	2915.627	3081	3196.233	4406.975	2141.56	2040.523	2767.915	2396.13
ENSG00000025800	2851.141	2622.937	2955.595	3040.069	1934.724	1903.729	2802.357	2605.89
ENSG00000026025	2908.99	8753.221	10025.016	9004.29	1037	4581.935	6974.062	15031.651
ENSG00000026036	162.789	294.2	256.893	326.797	360.131	264.266	396.742	327.827
ENSG00000026103	3431.29	3095.005	3619.691	3730.216	2014.762	2280.877	2761.686	3610.074
ENSG00000026297	3981.695	9429.08	7748.574	7561.335	4236.011	6390.821	3940.159	6581.774
ENSG00000026508	4366.823	10201.868	5179.157	7281.969	8057.346	7994.078	6263.561	4832.655
ENSG00000026559	7.444	13.029	11.065	18.543	10.797	8.464	5.098	11.052
ENSG00000026652	372	232.001	173	277.999	223.001	531.134	201	134.001
ENSG00000026751	14399.059	15227.359	13101.926	13076.669	5992.788	11492.781	9138.07	7785.962
ENSG00000026950	2333.118	2353.995	2297.333	2217.127	980.47	2040.74	906.97	1712.826
ENSG00000027001	508	467	509.225	533	608.219	470	554.14	567.095
ENSG00000027075	153.066	133.591	685.771	1413.266	2862.776	2887.762	834.738	331.951
ENSG00000027644	2	0	2	3	1	1	0	0
ENSG00000027697	3101.047	3108.173	1971.759	2392.209	2725.771	2724.844	1803.026	3527.492
ENSG00000027847	599.13	542.999	617.067	669.001	617.999	402.003	504.359	592.043
ENSG00000027869	298.35	134	311.001	174.999	137	232	142.001	189.001
ENSG00000028116	2326.894	1803.634	2241.571	1547.936	955.532	840.75	1356.42	1671.898
ENSG00000028137	5779.857	5117.392	5846.231	5015.397	2008.336	2723.497	3215.231	3748.644
ENSG00000028203	2913.869	2498.564	2457.063	1984.686	1192.303	1997.22	2406.706	2014.553
ENSG00000028277	6202.82	4707.744	5129.184	5148.785	2000.983	2066.597	2515.097	4229.802
ENSG00000028310	1084.918	1364.939	1387.884	1476.989	1398.082	1451.756	1743.251	1372.508
ENSG00000028528	3251.127	3518.059	4331.024	3769.046	2321.481	2678.358	3666.243	3437.268
ENSG00000028839	514.379	686.473	683.841	715.074	401.192	525.518	790.243	488.72
ENSG00000029153	3933.298	3726.386	5150.005	3566.532	1586.522	2081.292	3519.509	4229.008
ENSG00000029363	5736.034	6046.357	6681.13	7085.46	6965.74	5473.179	7402.069	5841.676
ENSG00000029364	3818.034	3542.167	3264.277	4222.94	2163.583	2059.276	2470.824	2313.597
ENSG00000029534	395.003	473.039	1086.028	249.001	188	119.001	204	529
ENSG00000029559	1	0	0	1	0	1	0	0
ENSG00000029639	671.93	629.571	753.316	678.946	789.338	757.342	807.603	738.649
ENSG00000029725	3825.792	4270.732	4207.114	4200.339	2459.42	3654.547	4055.834	3809.404
ENSG00000029993	641.938	665.673	1149.844	1028.668	590.903	737.63	1537.166	1013.321
ENSG00000030066	1903.95	2218.019	2649.002	2536.33	1573	1529.083	3632.197	2216.543
ENSG00000030110	889.948	1351.655	1524.62	1227.959	983.645	962.634	1549.69	974.975
ENSG00000030304	2	1	0	3	0	0	0	4
ENSG00000030419	11684.041	12279.085	10883.86	7606.216	5702.063	8735.853	10041.056	10714.39
ENSG00000030582	5708.723	6274.583	6546.586	7429.318	5819.079	8626.132	6677.396	5794.826
ENSG00000031003	1274.014	1651.999	2047.164	1647.479	944.999	1297.615	1633.196	1611.841
ENSG00000031081	2333.994	2068.01	2372.807	2329.506	960	1209.301	1897.166	1466
ENSG00000031691	249	344.002	391	454	220	295.001	734.065	461.014
ENSG00000031698	4016.057	4360.153	4158.568	4987.778	2485.775	3150.169	3466.175	3412.211
ENSG00000031823	1413.57	1936.213	1924.704	1729.038	1216.117	1530.249	2227.489	1702.801
ENSG00000032219	1171.687	1200.363	1213.998	1333.005	1202.465	1085.709	1029	973.025
ENSG00000032389	825.535	1099.001	1164.025	1016.813	771.012	864.999	957.541	911.291
ENSG00000032444	1902.542	1934.767	2154.618	1734.007	1703	1686.405	1867.227	1901.315
ENSG00000032742	202.03	235.004	226.043	262	173.277	179.308	283.067	261.001
ENSG00000033011	437.183	511.353	688.886	662.474	538.452	480.979	745.172	593.851
ENSG00000033030	1355.996	1446.327	1582.192	1614.121	713.031	1261.398	1914.03	1262.94
ENSG00000033050	826.613	1254.168	1509.572	1359.776	1004.308	898.534	1892.782	1221.053
ENSG00000033100	2101.417	1813.348	1872.999	2181.826	1674	1282.335	951.535	1300.888
ENSG00000033122	27	33.096	50	52	44	49	34	32
ENSG00000033170	2454.12	2516.562	1153.419	2561.983	2069.046	2050.197	2624.613	696.036
ENSG00000033178	2455.848	3269.828	3431	3223.696	1925	2131	3068.459	2442.348
ENSG00000033327	957.604	596	432.015	459	230.042	655.004	277	410.743
ENSG00000033627	2435.093	2702.596	2728.51	2686.347	1950.171	2213.17	1453.046	1901.911
ENSG00000033800	1983.945	2356.463	2628.063	2210.194	1573.604	2631.185	2241.193	2106.632
ENSG00000033867	1254.243	1266.001	1430	1301.152	701.001	1036.002	1707.294	1154.001
ENSG00000034053	0	0	0	0	0	0	0	0
ENSG00000034152	966.103	1267.069	1542.928	1374.216	1107.84	884.201	1398.89	1274.269
ENSG00000034239	0	0	0	1	1	0	0	0
ENSG00000034510	10497.687	11590.719	18548.763	13162.462	6577.305	11030.583	15818.007	13264.747
ENSG00000034533	180.974	177.77	256.258	230.332	236.749	197.69	255.135	261.038
ENSG00000034677	4326.394	4440.78	4639.883	4828.807	3653.992	4495.932	3888.342	4101.243
ENSG00000034693	591	679	824	770.008	502.181	435.729	852.589	836.131
ENSG00000034713	1818.173	1965.818	2089.117	2154.948	1306.811	3041.591	1952.004	1759.986
ENSG00000034971	0	6	0	2	0	1	1	0
ENSG00000035115	423.153	529.776	566.422	584.751	296.05	703.386	474.153	569.068
ENSG00000035141	892.977	1214.387	1601	1367.049	1610.762	1428.135	2676.023	1582.896
ENSG00000035403	502.621	1720.665	2692.562	774.659	918.861	822.427	3166.802	776.083
ENSG00000035499	523.009	551	919	694	403	503	1299.109	810.174
ENSG00000035664	415.473	328.422	329.533	454.302	363.179	932.338	874.24	67.736
ENSG00000035681	1723.001	1804.029	2028.838	1621.999	1462.429	1599.999	1663.443	1138.27
ENSG00000035687	1199.896	1670.938	2038.805	1744.944	1120.946	1310.182	2410.24	1587.88
ENSG00000035720	818	739.008	2012.573	909	568.158	511.015	546	1055
ENSG00000035862	37	48	514	53	57	30	136	46
ENSG00000035928	3280.494	2578.871	3436.302	3924.722	1521.999	1418.045	3114.993	2795.963
ENSG00000036054	689.034	680.16	832.326	891.16	375.999	455	601.999	586
ENSG00000036257	2521.511	2598.451	3267.688	3151.269	2048.008	2126.861	3257.001	2848.909
ENSG00000036448	3.543	0	0	15.125	0	0	0	20.668
ENSG00000036473	0	1	0	0	0	0	0	0
ENSG00000036530	5.013	8.069	3.015	11.076	1.005	10.043	11.03	6.026
ENSG00000036549	997.001	1152.317	1285.999	1255.692	658	920	1290.75	1039
ENSG00000036565	0	1.568	0	1	0	0	0	1.292
ENSG00000036672	3	6	6	14	0	3	5	3
ENSG00000036828	104.647	44.366	45.162	51.315	14.306	49.049	19.26	38.535
ENSG00000037042	502.301	666.753	637.575	796.218	190.278	645.395	389.912	599.325
ENSG00000037241	342.847	497.41	650.46	557.908	372.823	444.651	846.511	509.558
ENSG00000037280	0	1	8	5	1	9	2	9
ENSG00000037474	2420.956	3121.13	3560.724	3429.21	3184.377	2370.223	3949.911	3144.884
ENSG00000037637	1260.868	1260.323	1201.435	1387.956	679.681	864.299	1155.736	1133.152
ENSG00000037749	434.036	431	470.543	563.17	244.08	254.665	384.348	278.262
ENSG00000037757	903.548	552.446	1053.705	1071.613	1135.456	1321.753	1444.702	1244.709
ENSG00000037897	250.001	282.999	337.706	310.256	287.97	241.001	348.61	331.003
ENSG00000037965	0	1	9	0	1	0	2	1
ENSG00000038002	308.999	417	516.02	554.919	356	281.157	413.441	329.002
ENSG00000038210	3218.03	3124.185	3862.333	3120.412	2410.023	2003.014	3406.191	3015.681
ENSG00000038219	3983.029	3861.713	3908.822	4844.544	2113.225	4068.835	3374.74	3381.067
ENSG00000038274	2804.738	2853.545	3342.978	2894.685	1441	2479.264	2647.111	2557.384
ENSG00000038295	2	1	0	0	1	0	0	0
ENSG00000038358	2099.452	2282.428	2484.263	2715.233	2180.385	2373.28	3108.178	2321.154
ENSG00000038382	5408.192	6370.085	5097.45	4934.107	3116.018	6359.646	5284.772	5771.178
ENSG00000038427	934.137	549.004	651.036	139	16	244	259.998	247
ENSG00000038532	1705.633	1605.465	1556.973	1588.036	1067.682	1306.112	1360.227	1777.535
ENSG00000038945	2	227.58	5.784	5	3.911	19.903	4.681	2.92
ENSG00000039068	167.097	152.967	31	64	36	264.375	39	52.121
ENSG00000039123	1760.87	2052.784	2428.007	2360.368	1366.655	1413.307	2761.123	1816.18
ENSG00000039139	0	1	2	6	2	1	1	1
ENSG00000039319	750.556	842.341	909.827	791.21	381.974	688.499	644.336	718.404
ENSG00000039523	854.031	1423.367	1519.232	1204.04	1027.031	1466.046	674.003	1487.086
ENSG00000039537	0	0	0	2	0	0	0	0
ENSG00000039560	17	12	70	26	3	403.001	76	14
ENSG00000039600	4	2	5	5	1	0	1	1
ENSG00000039650	582.981	858.686	717.138	686.162	648.243	599.446	954.043	799.585
ENSG00000039987	4	5	3	17	13	1	7	5
ENSG00000040199	926.883	896.044	919.613	877.678	631.097	652.314	861.942	870.045
ENSG00000040275	771.087	909.356	1256.041	1297.062	584	1023.548	2022.001	1078.004
ENSG00000040341	1077.272	1446.762	1388.187	1067.598	684.343	901	1187.395	1046.189
ENSG00000040487	205	312.999	370.223	366.001	224.049	336	359.222	180.001
ENSG00000040531	219.049	279.465	259.008	339.223	199.022	249.029	240.006	188
ENSG00000040608	4	7	31	14	7	5	26	3
ENSG00000040633	723.842	873.006	1011.524	932.008	532	798.244	912.886	705.707
ENSG00000040731	2	0	2	4	0	1	1	1
ENSG00000040933	2996.323	2723.001	3277.263	3723.024	948.001	2413.193	2116.005	1861.268
ENSG00000041353	0	0	1	5	0	1	5	2
ENSG00000041357	2706.043	4522.474	4881.763	4512.366	2524.016	3427.316	4647.632	3690.982
ENSG00000041515	3	1	8	6	0	3	0	6
ENSG00000041802	965.93	1519.002	1626.642	1639.29	1198.969	1021.709	1970.49	1246.174
ENSG00000041880	721.002	809.999	859.008	799.16	1035.007	780	718.277	825.057
ENSG00000041982	183.999	142	148	144	58	35.001	136	57
ENSG00000041988	348.902	339.791	323.192	413.159	201	403.684	304.498	326.084
ENSG00000042062	25	31.35	22.039	35.365	30.319	12.054	27.035	22.105
ENSG00000042088	1289.583	1262.71	1510.014	1471.621	1350.032	976.001	1548.647	1233.661
ENSG00000042286	959.734	1104.61	1249.678	1262.115	695.984	806.007	1059.598	1170.383
ENSG00000042304	1	1	2	4	2	0	2	0
ENSG00000042317	85	92.999	90.066	117	116.999	83	89.001	123
ENSG00000042429	888.144	984.177	1118.449	1142.185	529.084	708.091	1188.206	972.879
ENSG00000042445	661.416	832.974	948.656	889.105	833.666	938.558	1153.108	1088.838
ENSG00000042493	452.973	859.819	1722.968	866.623	318	1279.001	482.312	805.816
ENSG00000042753	665	908	1086.044	983.683	800.277	843.426	1295.146	813.329
ENSG00000042781	2	4	5	11	3	5	9	7
ENSG00000042813	0	1	4	4	3	1	0	1
ENSG00000042832	3	8.001	8	7	3	2	3	1
ENSG00000042980	3	3	7	2	0	8	2	6
ENSG00000043039	7	0	0	8.002	3	0	0	4
ENSG00000043093	1278.92	1302.448	1673.21	1373.099	949.997	1065.928	1382.944	1162.168
ENSG00000043143	2419.016	2678.769	2759.213	2476.944	1550.202	1737.036	2836.732	2494.86
ENSG00000043355	0	0	1	0	0	0	1	0
ENSG00000043462	539.041	985.322	1059.021	724.001	1375.02	924.147	1348.246	282.001
ENSG00000043514	846.533	761.001	791.482	693.143	873	815.397	781.268	726.01
ENSG00000043591	30	17	20	32	160	31	41	35
ENSG00000044012	0	0	0	0	0	0	0	0
ENSG00000044090	2187.04	1572.219	1251.714	1720.696	1570.698	1569.465	1156.377	1451.621
ENSG00000044115	3522.356	4161.13	5189.122	4811.863	2270.802	3041.667	5150.497	3936.046
ENSG00000044446	1025.399	884.014	885.594	971	927.232	979.59	1120.083	852.073
ENSG00000044459	133.001	98.047	555	498.009	1	342.76	578	457
ENSG00000044524	0	0	1	3	1	8	4	1
ENSG00000044574	24842.694	17951.874	21493.694	39777.259	26507.284	10889.816	15649.311	14938.304
ENSG00000046604	3770.853	1677.142	1295.835	2251.005	2231.675	2878.286	1818.949	332.075
ENSG00000046647	591	505.999	442.081	619.999	470.994	715.403	363	654
ENSG00000046651	1790.001	1630.558	2515.714	2050.961	1375.506	2263.878	1426.176	2231.552
ENSG00000046653	139	154.001	166.055	131.999	77.001	118	101	166.088
ENSG00000046774	0	0	0	0	2	0	0	1
ENSG00000046889	0	72.133	6.005	11.017	0	2.003	2	1
ENSG00000047056	747.164	679	789.159	717	350.126	655	669.106	736
ENSG00000047188	1530.662	1784.466	1970.586	1760.119	1211.03	1732	1760.262	1770.309
ENSG00000047230	909	824.001	669.964	750	601	789.987	791.243	702
ENSG00000047249	991	1194.561	1332.95	1047.078	664.006	852.001	894	920.014
ENSG00000047315	4259.854	3931.755	4822.847	4767.516	3808.781	3357.966	5700.877	4519.19
ENSG00000047346	1624.276	1613.588	1772.957	1952.493	711	1300.579	1006.002	1713.002
ENSG00000047365	1926.004	1187	1887.332	1395.141	1026.201	1593.123	1003.963	1147.999
ENSG00000047410	7814.527	8269.692	8403.069	8727.404	6293.873	6768.98	8959.298	7834.701
ENSG00000047457	2.032	6.252	7.263	1.035	1.112	6.307	4.126	6.218
ENSG00000047578	542	543	529.001	632.001	342.071	418.002	458.008	526.001
ENSG00000047579	525	798.544	685	518	372.001	564.001	411.075	590.001
ENSG00000047597	4	2	3	2	8	0	12	0
ENSG00000047617	0	2	1	1	0	0	0	2
ENSG00000047621	806.201	784.543	940.474	884.091	375.247	499.893	771.18	742.429
ENSG00000047634	56	83	571.001	223	18	197.142	114	805.999
ENSG00000047644	1740.391	2136.238	2150	989	1479.897	1957.224	1096.137	1395.551
ENSG00000047648	1022	1660.858	497.11	713.11	89	131	349	605.001
ENSG00000047662	2.329	8.641	8.395	18.535	15.244	9.39	15.567	12.067
ENSG00000047849	6446.857	7421.407	7062.842	7983.902	5418.096	6137.366	7136.805	6472.078
ENSG00000047932	1654.374	1782.895	1947.977	2050.547	1122.987	1748.046	1682.87	1659.539
ENSG00000047936	2	4	0	6	3	4	2	4
ENSG00000048028	1661.999	1430.5	1787.038	1965.02	786.001	1396	1863.331	1222.999
ENSG00000048052	709.194	875.117	1164.079	248.022	999.117	984.073	639.072	683.051
ENSG00000048140	382.006	472	625.481	478	454.001	357.001	493.001	486.999
ENSG00000048162	534.9	897.794	981.951	919.837	959.488	887.083	1526.033	923.123
ENSG00000048342	12.033	36.165	20.61	25.153	12.408	12.049	32.042	18.299
ENSG00000048392	2972.642	2234.664	2849.757	2650	1525.379	1574.001	2423.463	2942.566
ENSG00000048405	1117.009	1037	1152.218	1255.151	1445	881.001	1135.473	1007.196
ENSG00000048462	1605.857	2086.223	2690.85	2021.989	909.313	1580.407	1716	1111
ENSG00000048471	4012.406	3270.268	3508.016	2388.799	1846.944	2352.249	2115.967	2621.099
ENSG00000048540	499	661	340	654.001	21	540.998	83.001	712.001
ENSG00000048544	774.648	1059.228	1316.014	1149.321	696.405	693.481	1145.652	922.642
ENSG00000048545	0	5	0	0	2	0	0	0
ENSG00000048649	1847.433	2175.286	2176.189	2109.469	1363.721	1647.476	1863.776	1643.956
ENSG00000048707	1540	1329	1535.999	1607.115	985	1152.451	1105.043	1355
ENSG00000048740	5366.704	5924.227	6275.733	6239.282	5654.554	5521.936	6295.008	4903.144
ENSG00000048828	5083.041	5645.096	6213.335	6058.739	4070.996	4097.352	7013.197	5531.341
ENSG00000048991	2587.183	2645.24	2997.521	2734.631	1641.19	1719.559	3001.157	2310.575
ENSG00000049089	1993.284	1720.001	1553.486	2394.52	2879.024	3174.464	1423.092	2296.02
ENSG00000049130	6	19	18	13	4	5	31	5
ENSG00000049167	256.89	293.378	322.616	317.007	204.025	245.508	286.231	252.943
ENSG00000049192	176.999	364.195	350.001	207.047	142	517	86	177.001
